dis,phi,reg_phi,smt_kdp
29.550000,45.000000,73.657197,0.000000
29.625000,76.440000,73.657197,0.000000
29.700000,86.620000,73.657197,0.000000
29.775000,78.410000,73.657197,0.000000
29.850000,58.330000,73.657197,0.000000
29.925000,73.390000,73.657197,0.000000
30.000000,78.050000,73.657197,0.000000
30.075000,63.840000,73.657197,0.000000
30.150000,66.810000,73.657197,0.000000
30.225000,84.310000,73.657197,0.000000
30.300000,71.570000,73.657197,0.000000
30.375000,63.770000,73.657197,0.000000
30.450000,71.470000,73.657197,0.000000
30.525000,68.580000,73.657197,0.000000
30.600000,71.260000,73.657197,0.000000
30.675000,76.480000,73.657197,0.000000
30.750000,79.030000,73.657197,0.000000
30.825000,77.300000,73.657197,0.000000
30.900000,71.820000,73.657197,0.000000
30.975000,67.220000,73.657197,0.000000
31.050000,75.230000,73.657197,0.000000
31.125000,77.210000,73.657197,0.000000
31.200000,58.150000,73.657197,0.000000
31.275000,70.010000,73.657197,0.000000
31.350000,69.080000,73.657197,0.000000
31.425000,70.510000,73.657197,0.000000
31.500000,77.420000,73.657197,0.000000
31.575000,80.330000,73.657197,0.000000
31.650000,79.440000,73.657197,0.000000
31.725000,74.500000,73.657197,0.000000
31.800000,70.380000,73.657197,0.000000
31.875000,76.140000,73.657197,0.000000
31.950000,74.800000,73.657197,0.000000
32.025000,78.120000,73.657197,0.000000
32.100000,69.660000,73.657197,0.000000
32.175000,86.550000,73.657197,0.000000
32.250000,58.340000,73.657197,0.000000
32.325000,85.870000,73.657197,0.000000
32.400000,78.640000,73.657197,0.000000
32.475000,72.120000,73.657197,0.000000
32.550000,71.880000,73.657197,0.000000
32.625000,82.300000,73.657197,0.000000
32.700000,60.400000,73.657197,0.000000
32.775000,49.670000,73.657197,0.000000
32.850000,75.820000,73.657197,0.000000
32.925000,75.520000,73.657197,0.000000
33.000000,70.700000,73.657197,0.000000
33.075000,89.400000,73.657197,0.000000
33.150000,79.820000,73.657197,0.000000
33.225000,106.840000,73.657197,0.000000
33.300000,71.650000,73.657197,0.000000
33.375000,69.120000,73.657197,0.000000
33.450000,92.140000,73.657197,0.000000
33.525000,82.190000,73.657197,0.000000
33.600000,64.980000,73.657197,0.000000
33.675000,72.560000,73.657197,0.000000
33.750000,67.760000,73.657197,0.000000
33.825000,69.710000,73.657197,0.000000
33.900000,77.860000,73.657197,0.000000
33.975000,80.990000,73.657197,0.000000
34.050000,72.710000,73.657197,0.000000
34.125000,80.280000,73.657197,0.000000
34.200000,70.420000,73.657197,0.000000
34.275000,87.030000,73.657197,0.000000
34.350000,79.430000,73.657197,0.000000
34.425000,57.040000,73.657197,0.000000
34.500000,73.650000,73.657197,0.000000
34.575000,71.800000,73.657197,0.000000
34.650000,69.200000,73.657197,0.000000
34.725000,72.620000,73.657197,0.000000
34.800000,87.290000,73.657197,0.000000
34.875000,81.070000,73.657197,0.000000
35.550000,53.390000,73.657197,0.000000
35.625000,83.740000,73.657197,0.000000
35.700000,78.170000,73.657197,0.000000
35.775000,62.890000,73.657197,0.000000
35.850000,53.140000,73.657197,0.000000
35.925000,81.900000,73.657197,0.000000
36.075000,60.890000,73.657197,0.000000
36.150000,76.050000,73.657197,0.000000
36.900000,68.230000,73.657197,0.000000
36.975000,52.590000,73.657197,0.000000
40.800000,64.540000,73.657197,0.000000
40.875000,59.990000,73.657197,0.000000
41.250000,79.070000,73.657197,0.000000
41.325000,65.620000,73.657197,0.000000
41.400000,64.190000,73.657197,0.000000
41.475000,74.750000,73.657197,0.000000
41.550000,64.790000,73.657197,0.000000
41.625000,80.920000,73.657197,0.000000
41.700000,74.650000,73.657197,0.000000
41.775000,74.340000,73.657197,0.000000
41.850000,67.330000,73.657197,0.000000
41.925000,60.630000,73.657197,0.000000
42.000000,75.130000,73.657197,0.000000
42.075000,74.720000,73.657197,0.000000
42.150000,67.080000,73.657197,0.000000
42.225000,84.810000,73.657197,0.000000
