dis,phi,reg_phi
67.05,84.4,76.07253731343283
67.125,84.59,76.07253731343283
67.2,69.33,76.07253731343283
67.275,82.28,76.07253731343283
67.35,74.9,76.07253731343283
67.425,70.55,76.07253731343283
67.5,77.08,76.07253731343283
67.575,67.59,76.07253731343283
67.65,69.39,76.07253731343283
67.725,77.03,76.07253731343283
67.8,76.1,76.07253731343283
67.875,65.96,76.07253731343283
67.95,64.88,76.07253731343283
68.025,76.77,76.07253731343283
68.1,74.38,76.07253731343283
68.175,81.08,76.07253731343283
68.25,77.55,76.07253731343283
68.325,74.23,76.07253731343283
68.4,67.54,76.07253731343283
68.475,77.8,76.07253731343283
68.55,71.12,76.07253731343283
68.625,65.62,76.07253731343283
68.7,84.25,76.63869565217392
68.775,70.81,76.63869565217392
68.85,82.75,76.63869565217392
68.925,75.92,76.63869565217392
69.0,71.37,76.63869565217392
69.075,78.29,76.63869565217392
69.15,81.16,76.63869565217392
69.225,79.62,76.63869565217392
69.3,70.08,76.63869565217392
69.375,76.38,76.63869565217392
69.45,79.98,76.63869565217392
69.525,77.0,76.63869565217392
69.6,74.69,76.63869565217392
69.675,72.7,76.63869565217392
69.75,75.47,76.63869565217392
69.825,77.9,76.63869565217392
69.9,84.4,76.63869565217392
69.975,77.45,76.63869565217392
70.05,81.25,76.63869565217392
70.125,76.2,76.63869565217392
70.2,72.26,76.63869565217392
70.275,68.32,76.63869565217392
70.35,74.44,76.63869565217392
70.425,78.4,76.71166666666666
70.5,78.0,76.71166666666666
70.575,73.82,76.71166666666666
70.65,81.14,76.71166666666666
70.725,77.91,76.71166666666666
70.8,71.0,76.71166666666666
70.875,78.9,77.0688888888889
70.95,75.3,77.0688888888889
71.025,78.43,77.0688888888889
71.1,80.17,77.0688888888889
71.175,74.19,77.0688888888889
71.25,76.06,77.0688888888889
71.325,80.05,77.0688888888889
71.4,74.75,77.0688888888889
71.475,75.77,77.0688888888889
71.55,78.02,78.02
71.625,87.66,78.48
71.7,75.7,78.48
71.775,73.16,78.48
71.85,77.4,78.48
71.925,83.76,79.83000000000001
72.0,79.1,79.83000000000001
72.075,81.67,79.83000000000001
72.15,80.91,79.83000000000001
72.225,77.0,79.83000000000001
72.3,81.52,79.83000000000001
72.375,81.86,79.83000000000001
72.45,79.59,79.83000000000001
72.525,86.24,79.83000000000001
72.6,81.48,79.83000000000001
72.675,86.84,79.83000000000001
72.75,80.98,79.83000000000001
72.825,83.02,79.83000000000001
72.9,71.59,79.83000000000001
72.975,75.77,79.83000000000001
73.05,73.6,79.83000000000001
73.125,82.43,79.83000000000001
73.2,74.73,79.83000000000001
73.275,82.67,79.83000000000001
73.35,81.15,79.83000000000001
73.425,83.47,79.83000000000001
73.5,66.88,79.83000000000001
73.575,82.78,80.0725
73.65,79.35,80.0725
73.725,82.87,80.0725
73.8,75.29,80.0725
73.875,82.21,80.50312499999998
73.95,82.15,80.50312499999998
74.025,80.62,80.50312499999998
74.1,85.88,80.50312499999998
74.175,92.68,80.50312499999998
74.25,80.0,80.50312499999998
74.325,81.38,80.50312499999998
74.4,78.07,80.50312499999998
74.475,80.41,80.50312499999998
74.55,80.85,80.50312499999998
74.625,89.1,80.50312499999998
74.7,73.41,80.50312499999998
74.775,74.75,80.50312499999998
74.85,79.58,80.50312499999998
74.925,83.59,80.50312499999998
75.0,79.0,80.50312499999998
75.075,82.27,80.50312499999998
75.15,78.33,80.50312499999998
75.225,91.0,80.50312499999998
75.3,77.93,80.50312499999998
75.375,89.8,80.50312499999998
75.45,70.64,80.50312499999998
75.525,81.56,80.50312499999998
75.6,76.85,80.50312499999998
75.675,78.65,80.50312499999998
75.75,77.59,80.50312499999998
75.825,80.45,80.50312499999998
75.9,78.53,80.50312499999998
75.975,75.54,80.50312499999998
76.05,77.7,80.50312499999998
76.125,75.11,80.50312499999998
76.2,80.47,80.50312499999998
76.275,90.64,82.04333333333334
76.35,97.13,82.04333333333334
76.425,69.86,82.04333333333334
76.5,73.64,82.04333333333334
76.575,87.55,82.04333333333334
76.65,86.75,82.04333333333334
76.725,81.24,82.04333333333334
76.8,75.81,82.04333333333334
76.875,87.53,82.04333333333334
76.95,93.81,82.04333333333334
77.025,81.88,82.04333333333334
77.1,80.37,82.04333333333334
77.175,77.54,82.04333333333334
77.25,82.48,82.04333333333334
77.325,88.71,82.04333333333334
77.4,73.01,82.04333333333334
77.475,77.75,82.04333333333334
77.55,84.78,82.04333333333334
77.625,79.92,82.04333333333334
77.7,85.35,82.04333333333334
77.775,78.11,82.04333333333334
77.85,81.93,82.04333333333334
77.925,85.2,82.04333333333334
78.0,82.62,82.04333333333334
78.075,81.13,82.04333333333334
78.15,70.19,82.04333333333334
78.225,80.24,82.04333333333334
78.3,85.75,82.53611111111111
78.375,81.62,82.53611111111111
78.45,82.74,82.53611111111111
78.525,86.65,82.53611111111111
78.6,81.67,82.53611111111111
78.675,89.2,82.53611111111111
78.75,70.95,82.53611111111111
78.825,96.94,82.53611111111111
78.9,80.4,82.53611111111111
